formula,target
Al1.92 Li17.28 Si6,1
H2 Al3.48 Ca1 Fe0.16 Mg2.17 O12 Si1.19,1
Ag1 K1 Np1 S3,0
C1 S3 Tl2,0
O3 Sm2,1
Fe0.75 Na0.35 O8 Ti3.35,1
Cu0.95 In0.95 Te2,1
Ce3 Cl6 O4 P1,1
Cd1 Ho4 Se7,1
H1 Li1 O4 S1,0
As1 Cr0.4 Mn0.6,1
Hf1 Si11,1
Be17 Ru3,0
Cr0.08 O1 Zn0.92,1
Co0.86 Nb0.14,1
Ga4 Zr5,0
Mn0.28 Se1 Zn0.72,1
H6 Ca2 Mn3 O17 P3,0
Se11 Ta2 Tl4,0
Ba8 Ge42.84,1
Co3 Cs2 S4,0
La0.6 Ni1 O4 Sr1.4,1
B5 Cd1 O10 Rb3,0
Cr2 Ru1,1
H20.6 K6.76 Mn0.36 Na3.92 Nb1.6 O64.8 Si16 Ti6.4,1
Ba1 Co1.5 Fe0.5 Nd1 O6,1
C1 O9 Sr4 Tl2,1
Br8 Li6 Mg1,0
Ba0.984015 Bi0.0074925 Na0.0074925 O3 Ti0.999 Y0.002,1
Al92 O384 Si100 Tl92,1
Ga0.013 Ge0.987,1
Dy0.6 Er0.4 Mn2,1
Al0.45 Ca0.01 Fe0.395 Mg1.385 O6 Si1.76,1
F6 Pb1 Zr1,0
Al1.628 Ca2.985 Fe0.364 O12 Si3,1
Ag0.5 Ho1 In0.5,1
Cu1 Se1 Tl1,0
Ba1 Mn1 O2.96,1
Al1 F4 Na1,0
Mn12 Tb1,0
Co3.5 Cu1.5 Pr1,1
F1 Li0.9 Nb2 O6 Sr1,1
Ca1 La1 Mo3 Na1 O12,1
Ba2 Si4,0
Tb6 Zn23,0
Al1.03 B22 Be0.67,1
La1 Na1 Se2,1
Al1.8878 Cr0.152 Fe0.267 Mg2.6402 Mn0.0572 O12 Si2.8101,1
Al43 Tm6 W4,0
Cu1.95 Se4 Sn1 Zn1,1
Ir2 Yb1,0
Co0.5 Li1 Ni0.5 O2,1
Ca1 Co2 Ga3,0
Lu1 Pt2 Si2,1
C2 Ba1 F2 O6 Pb2,0
Au10 Ca4 In3,0
Hf0.8 Sc0.2 Si1,1
Au1 Ni3 Si6,0
Fe1 Ge1 Nb1,0
Co1 Sb1,0
O1 S2 Tm2,0
Co0.5 La1.5 Ni0.5 O4.06 Sr0.5,1
La1.5 Mg0.5 Ni7,1
Co1.5 Ni1.5 Y1,1
O3.19 Pr0.5 Y1.5,1
Ga12.4 Na12.4 O120 Si47.6,1
Ge1 Na2 O4 Zn1,0
Ba0.821 Cu1 O10 Si4 Sr0.179,1
La0.33 Nb1 O3,1
Se1 Th0.7 U0.3,1
As2 Sn1 Zn1,1
C1 Au1 N1,0
Ge1 Mg1 Yb1,0
Ba4 S10 Zr3,0
Li1 Na1 Te1,0
Dy0.5 Mn1 O3 Y0.5,1
Ag4 S8 Sn3,0
B9 K2.2 Na0.8 O15,1
Co0.69 Ge7 Sm3.79,1
C2 Cu1 Na2 O6,0
Fe1 Gd0.15 Mo1 O6 Sr1.85,1
Fe2 Pu1 Si2,0
Al8 Cr4 Er1,0
Mo1.33 Ru0.67,0
H1 Fe21 O32,1
Cd1 Ge2 O5,0
Gd0.6 Ni1 Y0.4,1
Ca1 O7 Si2 Sr1 Zn1,1
Fe0.03 Ni0.97 Ti0.885,1
Ba3 Cl2 Cu2 O4,0
Cu0.947 In1 Se2,1
Fe1 Ga4 O12 Y3,1
Cu0.93 La1 O2.57,1
Ba2 Ce1 O6 Pt1,0
Au1 Rb1,1
Hf0.9 P0.68 Ti1.1,1
Cu1 Sb0.1 Sn0.9,1
Ca1 Si1 Sr1,0
Ga2 Ni1 S4,0
Cu2 O18 Te7 Tl2,0
Ca0.2 Ni1 O4 Pr1.8,1
Ag1 Au3 Te8,1
Nb2 Ni4 O9,0
Ag2 Cl2 Cs6 Ge4 O20 U3,0
Ce1 Ge0.25 S0.75,1
Au1 La2,0
H4 Mg2 O9 P2,0
Fe0.94 Nb1.94 O8 Th0.55 Y0.45,1
Fe4 O21 P6,0
As1 La5 Pb3,0
C13 Co4 Ge1 O13,0
Ba8 Cd8 Ge38,1
Fe1 K1 Na4 O4,0
Ga2.5 La1 Ni2.5,1
Co2 Ni3 Th1,1
B2 V3,0
Fe0.61 Mg0.29 Ni0.3 O8 P2 Zn1.8,1
Co4 Ge10 Lu5,0
Al1.99 Fe0.04 O4 Zn0.97,1
Br1 N3 Nd6 S4,0
Ca0.008 Fe0.142 Mn0.786 Nb1.775 O6 Ta0.178 Ti0.03,1
B1 Fe12.5 Nd2 Sc1.5,1
Fe3.65 Ga12 Re0.35,1
Mn1 Rb2 Se8 Sn3,0
Ba1.2 Co1 Cu2 O2 S2 Sr0.8,1
La0.57 Mn1 Nd0.1 O3 Sr0.18,1
Co1 Cr1 F6 Rb1,1
O7 Os1 Sm3,0
Pb4 Rb4,0
I6 O18 Sn1 Sr1,0
Au4.5 Hf0.5,1
P12 Ru19 Yb5,0
Ce8 Ga1 Pd24,0
Be6 Fe7.976 O24 S2 Si6,1
Bi0.8 Fe0.8 O3 Pb0.2 Ti0.2,1
Ca0.09 O1.91 Zr0.91,1
Co1 O2.87 Sm0.4 Sr0.6,1
Co2 Rh1 S4,1
H4 Ca1 Mg1 Ni1,0
H6 As2 O11 U1,0
Cu2 Hg0.3 O9 Pr2 Sr2 Tl0.7,1
Ga4 Hf3 Mn2,0
F1 O12 P3 Pb5,1
Pr1 Ru4 Sb12,0
Au0.53 In0.24 Pd0.23,1
Cs6 Mo24 Te26,0
Cs3 Mn4 O36 P12,0
H12 Cl2 Ni1 O12,0
C2 U1 W1,0
N2 U1 Y1,1
H5 Nd1 O8 Se2,0
Ni1 O0.51 Zr3,1
K2 Mo1 O4,0
F6 Na1 Rb2 Rh1,0
Li1.072 O4 Ti1.674,1
Ba1 Hg2.26 In1.74,1
Cs1 O6.5 Si1.9 Ti1.1,1
Ba7 Cl2 F12,0
K1.8 Li1.7 Nb5 O15 Pb0.75,1
Cr1 F2,0
Ba2.86 Eu0.145 N1.92 O12.18 Si6,1
Na3 P1 S4,1
As1 Ta1,0
Cu0.1 Mg0.9 O1,1
C6 Mn1 N6 Pt1,0
In2 La1 Ni3,1
Nb0.46 Se2 W0.54,1
Ca3 Fe1.6 O12 Sc0.4 Si3,1
K1 Se3 V3,0
H2 Be4 O9 Si2,0
Cl4 Cs2 Mg1,0
C6 H20 Cl6 N2 Te1,0
Li1 Sn2 Tm1,0
As6.83 Nd6 Zn1.67,1
Pd7 Se2,0
As1 In2 Te1,1
Cu1 Li1.95 O8 Ti3,1
Br1 Rb1,0
Cu2 Eu0.95 O8 Sr2 Ta0.97,1
Ba2 F5 O8 Si2 Y3,0
Ga1.04 Nd1 Si0.96,1
Ca0.81 Fe1 Mn3.19 O15 Si5,1
Ba1 F4 Mg1,0
F0.937 Se1 Y1,1
C0.025 Re1,1
Al1 Cu0.6 Ni0.4 Pr1,1
Cr0.07 Ga0.93 Gd0.03 Ge4.95 La2.97 O16 Sn0.05,1
Eu2 Mo4 O18 Sb2,0
H8 B15 Fe8 O36,0
B1 O13 Si2 Tb5,1
Gd4.59 Hf0.41 Si4,1
B1 Cl10.63 Cs2 I4.37 Zr6,1
Ga2 S4 Zn1,1
La2.712 Se4,1
Fe2 Rb6 S6,0
Ga1 O7 Sb1 Y2,1
As1 Pb1 Pd6,1
Cs1 In1 O8 Te3,0
C4 H8 Cd1 Cl2 N2,0
Mg2 N4 Ta2,1
Cl3 F2 Rb2 Sb1,0
Ce2 O7 Sm2,1
Ag6.4 As0.6 Te4,1
Si5 V6,0
O7 Sm2 Zr2,1
Ge6 Ir5.7 Mn5.3,1
Ag1 Hf4 Pd1,1
Fe1.2 P1 Ti0.8,1
B8 Mg1 O26 Se1 Sm6 Ta2,0
Mo1 O6 Rb1 Sb1,1
Fe17 Sm2,0
I3 Lu3 Na2 O12 Te4,0
Ce1 K1 Mo2 O8,1
Cr1 Fe1 Mn1 O4,1
Ba5 In0.94 Mn4 O14.42,1
H15.4 Al3.7 Ca0.19 Li3.3 O31.7 Si8.3,1
Nd1 O3.05 Zr1,1
C1.5 H6 Ag1.25 N0.75 Se3 Sn1,1
B1 K0.83 Mg1 Na0.17 O3,1
Na1 Zn13,0
Cu0.5 Nd2 Ni0.5 O4,1
Ba2 Cu4 O8.06 Y1,1
Co1 Y3,0
Cu1 Ni1 Ti1,1
Al2.25 N15.25 O0.75 Si9.75 Y0.5,1
Cr0.4 Mn0.6 Ni2 Sn1,1
Al1 Co2 Tm2,0
Li0.98 Ni1.02 O2,1
Ca0.667 K4 Te3,1
Co1 Sb2.868 Te0.038,1
Dy4 Te9,1
H0.22 Cr1 N3 Sr3,1
C18 Cl1 O18 Os6 P1,0
H1 Al3 Ca1.518 O13 Si3 Sr0.482,1
Nb3 S6 V1,0
Ca3 Ga5,0
Ba0.63 Sn5 Sr0.37,1
