,formula,target
0,Mg1,0
1,Mg1,0
2,Mg3,0
3,Mg10,0
4,Mg1,0
5,Mg1,0
6,Mg2,0
7,Mg4,0
8,Mg16 Al12 Fe1,0
9,Mg12 Al2 Fe2,0
10,Mg12 Al2 Fe2,0
11,Mg14 Al1 Fe1,0
12,Mg14 Al1 Fe1,0
13,Mg15 Fe1,0
14,Mg3 Fe1,0
15,Mg6 Fe2,0
16,Mg7 Fe1,0
17,Mg4 Fe2,0
18,Mg149 Fe1,0
19,Fe100,0
20,Fe28,0
21,Fe1,0
22,Fe1,0
23,Fe4,0
24,Fe4,0
25,Fe2,0
26,Fe1,0
27,Fe2,0
28,Fe1,0
29,Al100,0
30,Al100,0
31,Al4,0
32,Al4,0
33,Al2,0
34,Al100,0
35,Al1,0
36,Al100,0
37,Al100,0
38,Al1,0
39,Al12 Fe7,0
40,Al12 Fe2,0
41,Al1 Fe4,0
42,Al1 Fe1,0
43,Al1 Fe3,0
44,Al1 Fe2,0
45,Al2 Fe4,0
46,Al1 Fe1,0
47,Al1 Fe3,0
48,Al6 Fe2,0
49,Al16 Fe10,0
50,Al39 Fe12,0
51,Al1 Fe3,0
52,Al18 Fe4,0
53,Mg3 Al1,0
54,Mg6 Al2,0
55,Mg4 Al8,0
56,Mg4 Al8,0
57,Mg1 Al1,0
58,Mg1 Al1,0
59,Mg1 Al1,0
60,Mg18 Al11,0
61,Mg1 Al2,0
62,Mg149 Al1,0
63,Mg41 Al67,0
64,Mg16 Al13,0
65,Mg1 Al3,0
66,Mg13 Al14,0
67,Mg2 Al6,0
68,Mg2 Al2,0
69,Mg1 Al1,0
70,Mg2 Al2,0
71,Mg8 Al12,0
72,Mg3 Al1,0
73,Mg7 Al1,0
74,Mg2 Al4,0
75,Mg16 Al13,0
76,Mg1 Al1,0
77,Mg1 Al1,0
78,Mg3 Al1,0
79,Mg3 Al1,0
80,Mg17 Al12,0
81,Mg13 Al16,0
82,Mg23 Al30,0
83,Mg15 Al1,0
84,Mg16 Al13,0
85,Mg1 Al3,0
